Date,open,high,low,close
12/8/21 10:00,71.86,72.28,71.62,72.13
12/8/21 11:00,72.13,72.83,71.69,72.69
12/8/21 12:00,72.69,73,72.34,72.46
12/8/21 13:00,72.47,72.91,72.19,72.81
12/8/21 14:00,72.81,72.84,72.23,72.44
12/8/21 15:00,72.44,72.61,72.36,72.6
12/9/21 9:00,71.52,71.99,71.31,71.54
12/9/21 10:00,71.54,71.99,71.46,71.73
12/9/21 11:00,71.74,71.96,71.44,71.53
12/9/21 12:00,71.52,71.68,71.11,71.46
12/9/21 13:00,71.46,71.56,71.04,71.25
12/9/21 14:00,71.25,71.36,70.46,70.65
12/9/21 15:00,70.65,70.7,70.39,70.47
12/10/21 9:00,72.12,72.33,71.12,71.22
12/10/21 10:00,71.23,71.86,71.09,71.47
12/10/21 11:00,71.47,71.57,70.93,71.07
12/10/21 12:00,71.07,71.46,70.99,71.36
12/10/21 13:00,71.35,71.65,71.18,71.57
12/10/21 14:00,71.57,71.86,71.22,71.76
12/10/21 15:00,71.76,72.12,71.73,71.97
12/13/21 9:00,71.56,71.61,70.71,71.27
12/13/21 10:00,71.25,72.05,70.88,71.58
12/13/21 11:00,71.58,71.79,71.19,71.51
12/13/21 12:00,71.5,71.96,71.36,71.75
12/13/21 13:00,71.75,71.79,71.25,71.29
12/13/21 14:00,71.28,71.53,71.11,71.38
12/13/21 15:00,71.37,71.42,71.18,71.19
12/14/21 9:00,70.27,70.67,69.75,70.44
12/14/21 10:00,70.44,70.67,70.13,70.34
12/14/21 11:00,70.35,70.65,69.53,69.59
12/14/21 12:00,69.59,70.03,69.51,69.96
12/14/21 13:00,69.95,70.74,69.93,70.5
12/14/21 14:00,70.49,70.88,70.36,70.4
12/14/21 15:00,70.4,70.61,70.37,70.46
12/15/21 9:00,70.13,70.3,69.67,69.75
12/15/21 10:00,69.75,70.19,69.51,70.03
12/15/21 11:00,70.03,70.35,69.66,70
12/15/21 12:00,70,70.66,70,70.63
12/15/21 13:00,70.64,70.7,70.34,70.47
12/15/21 14:00,70.44,71.14,70.3,71.02
12/15/21 15:00,71.02,71.66,71.02,71.55
12/16/21 9:00,71.34,71.6,71.05,71.25
12/16/21 10:00,71.27,72.29,70.91,72.01
12/16/21 11:00,72,72.74,71.79,72.52
12/16/21 12:00,72.52,72.65,72.06,72.1
12/16/21 13:00,72.11,72.42,72.07,72.38
12/16/21 14:00,72.38,72.46,71.69,71.77
12/16/21 15:00,71.77,71.95,71.61,71.84
12/17/21 9:00,71.14,71.28,70.59,70.73
12/17/21 10:00,70.72,70.85,69.7,70.82
12/17/21 11:00,70.83,71.16,70.61,70.73
12/17/21 12:00,70.73,71.07,70.62,70.82
12/17/21 13:00,70.82,70.9,70.26,70.57
12/17/21 14:00,70.56,70.81,70.42,70.7
12/17/21 15:00,70.69,70.83,70.27,70.34
12/20/21 9:00,67.82,68.11,66.82,67.26
12/20/21 10:00,67.25,67.5,66.38,66.52
12/20/21 11:00,66.51,66.92,66.12,66.85
12/20/21 12:00,66.85,67.64,66.78,67.59
12/20/21 13:00,67.59,68.14,67.53,67.9
12/20/21 14:00,67.89,69.08,67.85,68.96
12/20/21 15:00,68.97,69.07,68.86,68.97
12/21/21 9:00,69.48,70.68,69.35,70.23
12/21/21 10:00,70.23,70.61,70.03,70.31
12/21/21 11:00,70.3,71.04,70.2,70.85
12/21/21 12:00,70.85,71.4,70.85,71.36
12/21/21 13:00,71.36,71.5,71.22,71.25
12/21/21 14:00,71.25,71.4,71.04,71.39
12/21/21 15:00,71.38,71.49,71.36,71.48
12/22/21 9:00,71.38,71.46,71.03,71.28
12/22/21 10:00,71.29,71.95,71.23,71.58
12/22/21 11:00,71.58,72.07,71.41,71.94
12/22/21 12:00,71.94,72.28,71.87,72.16
12/22/21 13:00,72.17,72.57,72.13,72.52
12/22/21 14:00,72.51,73.03,72.31,72.88
12/22/21 15:00,72.88,72.98,72.74,72.95
12/23/21 9:00,73.11,73.33,72.76,72.94
12/23/21 10:00,72.95,73.12,72.71,73.08
12/23/21 11:00,73.07,73.7,72.85,73.64
12/23/21 12:00,73.64,73.81,73.52,73.65
12/23/21 13:00,73.65,73.75,73.44,73.62
12/23/21 14:00,73.62,73.87,73.53,73.81
12/23/21 15:00,73.8,73.95,73.7,73.81
